word,image_url
cat,https://upload.wikimedia.org/wikipedia/commons/1/15/Cat_August_2010-4.jpg
dog,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Huskiesatrest.jpg/3840px-Huskiesatrest.jpg
cow,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Cow_%28Fleckvieh_breed%29_Oeschinensee_Slaunger_2009-07-07.jpg/3840px-Cow_%28Fleckvieh_breed%29_Oeschinensee_Slaunger_2009-07-07.jpg
pig,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Pig_farm_Vampula_1.jpg/3840px-Pig_farm_Vampula_1.jpg
hen,https://upload.wikimedia.org/wikipedia/commons/0/0c/Hen_with_chicks%2C_Raisen_district%2C_MP%2C_India.jpg
fox,https://upload.wikimedia.org/wikipedia/commons/3/30/Vulpes_vulpes_ssp_fulvus.jpg
owl,https://upload.wikimedia.org/wikipedia/commons/5/56/Bubo_bubo_sibiricus_-_01.JPG
bee,https://upload.wikimedia.org/wikipedia/commons/7/76/Tetragonula_carbonaria_%2814521993792%29.jpg
ant,https://upload.wikimedia.org/wikipedia/commons/d/db/Red_Ant_-_March_2025.jpg
car,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/1925_Ford_Model_T_touring.jpg/3840px-1925_Ford_Model_T_touring.jpg
bus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/LTZ1328-19-20241030-160332.jpg/3840px-LTZ1328-19-20241030-160332.jpg
cup,https://upload.wikimedia.org/wikipedia/commons/d/da/Cup_and_Saucer_LACMA_47.35.6a-b_%281_of_3%29.jpg
bed,https://upload.wikimedia.org/wikipedia/commons/0/04/2008-04-12_Freilichtmuseum_Detmold_%2811%29.jpg
hat,https://upload.wikimedia.org/wikipedia/commons/c/cd/Chapeaux_en_peau_de_castor.jpg
pen,https://upload.wikimedia.org/wikipedia/commons/a/ae/Carandache_Ecridor.jpg
box,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/L%C3%A5da_-_Livrustkammaren_-_107142.tif/lossy-page1-3840px-L%C3%A5da_-_Livrustkammaren_-_107142.tif.jpg
bag,https://upload.wikimedia.org/wikipedia/commons/5/5f/Bolsas-de-asa-plana-interior-bolsapubli.jpg
key,https://upload.wikimedia.org/wikipedia/commons/6/60/Solex_99_30_padlock_with_keys_%28DSCF2659%29.jpg
map,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/World_Map_1689.JPG/3840px-World_Map_1689.JPG
sun,https://upload.wikimedia.org/wikipedia/commons/8/83/The_Sun_in_white_light.jpg
